date,ticker,action,price,qty,pnl,pnl_pct,days_held,hold_target,reason
2025-12-29,COLBUN.SN,SELL,145.7899932861328,12239,70863.72782897949,0.04135709490094866,12,10,"Hold period expired (12d >= 10d), P&L=4.1%"
2025-12-29,SCHWAGER.SN,BUY,2.242000102996826,576113,0.0,0.0,0,10,V2 signal prob=50.00%
2025-12-30,EMBONOR-B.SN,SELL,1600.0,1095,158775.0,0.09965635738831616,15,10,"Hold period expired (15d >= 10d), P&L=10.0%"
2025-12-30,VAPORES.SN,BUY,46.779998779296875,32531,0.0,0.0,0,10,V2 signal prob=50.00%
2026-01-05,SONDA.SN,SELL,345.7900085449219,4921,-11564.38003540039,-0.006750175230183561,19,10,"Hold period expired (19d >= 10d), P&L=-0.7%"
2026-01-05,AAPL,SELL,267.0101623535156,2920,-19108.052978515625,-0.023921614651256865,12,10,"Hold period expired (12d >= 10d), P&L=-2.4%"
2026-01-05,CGE.SN,BUY,258.1499938964844,7753,0.0,0.0,0,10,V2 signal prob=50.00%
2026-01-05,SK.SN,BUY,1599.0999755859375,625,0.0,0.0,0,10,V2 signal prob=50.00%
2026-01-06,MOLYMET.SN,SELL,6431.7001953125,138,31974.626953125,0.03737099924395161,20,10,"Hold period expired (20d >= 10d), P&L=3.7%"
2026-01-06,NVDA,BUY,187.22987365722656,5046,0.0,0.0,0,10,V2 signal prob=50.00%
2026-01-09,WATTS.SN,SELL,669.260009765625,2419,22399.963623046875,0.014030317826704546,16,10,"Hold period expired (16d >= 10d), P&L=1.4%"
2026-01-09,SCHWAGER.SN,SELL,2.2200000286102295,576113,-12674.528855085373,-0.009812699989259467,11,10,"Hold period expired (11d >= 10d), P&L=-1.0%"
2026-01-09,VAPORES.SN,SELL,51.900001525878906,32531,166558.80934906006,0.10944854382612677,10,10,"Hold period expired (10d >= 10d), P&L=10.9%"
2026-01-09,WATTS.SN,BUY,669.260009765625,2754,0.0,0.0,0,10,V2 signal prob=50.00%
2026-01-09,CMPC.SN,BUY,1415.0,1303,0.0,0.0,0,10,V2 signal prob=50.00%
2026-01-09,PARAUCO.SN,BUY,3140.0,293,0.0,0.0,0,10,V2 signal prob=50.00%
2026-01-16,NVDA,SELL,186.21990966796875,5046,-5096.278289794922,-0.005394245958349663,10,10,"Hold period expired (10d >= 10d), P&L=-0.5%"
2026-01-16,MASISA.SN,BUY,18.579999923706055,50164,0.0,0.0,0,10,V2 signal prob=50.00%
2026-01-19,CGE.SN,SELL,252.0500030517578,7753,-47293.22901916504,-0.02362963776467335,14,10,"Hold period expired (14d >= 10d), P&L=-2.4%"
2026-01-19,SK.SN,SELL,1649.9000244140625,625,31750.030517578125,0.03176790044631887,14,10,"Hold period expired (14d >= 10d), P&L=3.2%"
2026-01-19,WATTS.SN,SELL,730.0,2754,167277.93310546875,0.09075693952735374,10,10,"Hold period expired (10d >= 10d), P&L=9.1%"
2026-01-19,CGE.SN,BUY,252.0500030517578,7839,0.0,0.0,0,10,V2 signal prob=50.00%
2026-01-19,FALABELLA.SN,BUY,6461.0,305,0.0,0.0,0,10,V2 signal prob=50.00%
2026-01-19,WATTS.SN,BUY,730.0,1357,0.0,0.0,0,10,V2 signal prob=50.00%
2026-01-20,CMPC.SN,SELL,1379.9000244140625,1303,-45735.26818847656,-0.024805636456492933,11,10,"Hold period expired (11d >= 10d), P&L=-2.5%"
2026-01-20,PARAUCO.SN,SELL,3414.89990234375,293,80545.67138671875,0.08754773959992038,11,10,"Hold period expired (11d >= 10d), P&L=8.8%"
2026-01-20,CMPC.SN,BUY,1379.9000244140625,1373,0.0,0.0,0,10,V2 signal prob=50.00%
2026-01-20,COLBUN.SN,BUY,150.0,6315,0.0,0.0,0,10,V2 signal prob=50.00%
